height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
311;24601200;23132100;22760000;24247500;23075900;23007100;22945300;22827700;26338600;24605900;23754100;29996100;23552600;23724400;23418900;23522600;22487000;22698700;25548000;23724000;24592200;28004200;24485300;26965500;27745800
317;44832600;35986100;35477000;38371400;32091700;39309900;33579500;30853500;34932400;32289600;31625900;31335000;31785400;33281000;30975800;30846600;31138700;30889600;31358300;41408700;32213000;31156200;31045500;30595500;37122900
321;40276100;38295100;38040000;37564000;46916700;39519500;38932200;41765000;38506500;37388400;38296800;44695300;39177800;38459900;37392300;38503000;37963800;37796700;37636600;38126200;43287500;39429500;38051100;38872400;44787800
327;43690400;39657300;40247600;38675400;43111200;41697800;40324100;40360200;39645600;39371300;40438200;43167600;41715200;40273500;39578400;40757100;38448300;38948400;38753800;44601300;40837400;39431100;39779800;43631900;45492900
331;48385800;47368100;45251000;45123300;52678800;49672900;46097700;46622100;50506000;47341500;47347000;45707400;46897800;45931100;47913100;54958800;49447600;57158300;52360000;49634700;47837300;48684200;51226900;46001800;46694600
337;47242600;44389000;43596700;46517800;52986300;45600000;44934600;44148000;44711500;43870600;59215400;49063300;42402600;44004600;47660700;47159500;45264900;43260500;42986700;42299400;41994500;42197000;44808100;42629800;42808200
341;50423000;46904800;45821000;44704200;52839300;45796300;45569900;51114500;46295700;45683600;44838900;53105700;47590600;46506000;43826100;45247000;48306100;44472200;46449200;48790100;52555300;50033200;48594800;46518100;45388500
347;43095000;42433700;42178500;48447300;48663100;44827000;42091300;51797400;45252700;42643300;43445100;41566700;42937600;41818600;41441200;43401700;42250800;43217600;45116400;45367600;44565100;42948200;42955000;42520700;43416000
351;59273400;57534700;53351400;70249800;56364500;52640700;60831900;52392800;53228700;53589800;55189300;53290600;57766700;58889800;55303700;54594300;51799700;57876600;56429000;63932300;53794900;64708000;54765500;53990000;57778200
357;56869000;55361400;55320400;62468000;60018800;57393000;55269900;54525200;58908000;55465000;62912300;58187900;55454300;66206500;65502300;74825500;69919600;67090800;58812000;57052700;56370200;60087000;57634100;55439400;56196800
361;46157800;55151800;45271600;47858000;54773000;56560900;46180100;48506900;44958000;44106800;43923800;43189300;43814900;44615800;45747600;43225300;51395200;46941700;44532000;44821500;43661600;47128700;43866800;55757500;44610900
367;55533500;62015100;55969900;66207100;55215700;55690200;54450400;58342700;54946700;54396700;58781800;56597500;53312200;55534800;55768000;62764000;58146800;55446900;67344500;61214000;53251600;54419600;54395600;55165800;54712800
371;58285200;57180600;61458300;68862600;56702000;57228000;59115100;64105200;59115600;58310900;63287700;60882000;61724800;63786900;60518900;56830200;58315200;56470500;55638100;62311700;57432100;53880200;54939500;54861500;68379400
377;56294300;55477500;63699900;65595200;57959200;56243100;54027500;57061500;55990400;56359800;53523900;65423900;55369500;59263400;54200400;54960200;63088200;55359700;58347000;63244300;56558600;56016500;54930800;56182100;54223900
381;48692800;47371300;47682300;54450300;52428300;48579900;49050300;47279200;47991000;56284600;50013000;48859400;51260700;54366500;51951800;49535100;49681700;48516100;49060200;47925400;51209000;48741500;49542200;53653400;52384900
387;65884600;64389100;71884000;68659900;64518300;73077800;71621600;66727100;65365100;65886500;66980300;66016300;67867000;71345000;67249300;65506700;65463900;74773900;66721400;65837200;71305500;68674600;68240400;69608500;66259600
391;56919700;51686900;51745500;60608200;56222700;51864800;53468600;51421700;57869700;53817700;54619200;55118000;64174300;54512500;53236900;52860100;52768800;52437400;52901200;53778300;53192500;52907400;58937900;53048500;52906300
397;71277600;79161900;78058700;71795400;82132200;77773500;78447100;77049300;75016100;74278000;70727600;74374600;75417300;74467800;79641300;73933100;81311000;91312800;97748800;92109500;99913700;98511500;93712700;93828700;88477800
401;93631300;71897800;74732200;70577200;66197900;63670500;64977200;67620800;64276400;65345400;70554500;70949300;65005600;64414100;72777700;68178400;64782300;69784100;72007400;65172100;64580700;66787300;67889500;65834100;70743900
407;82267400;69700200;79181000;81215500;73558700;72959200;78927800;74445100;71961800;75244400;71370800;73491200;72827700;78598200;76612700;72976500;78757400;74838300;72393400;82488800;83598500;74036600;73056100;73733700;72649900
411;73940100;78824800;82202000;74441700;83685100;72926000;71503600;79579900;74223700;73654200;72575000;72085300;70958300;72374700;77037200;73839300;73271300;71023900;80730100;73643000;75887300;78209200;73516300;73495800;75812800
417;48924900;48754100;47594600;50676200;52411400;50852800;46617100;47104100;47466300;55506900;49331600;48223800;49480700;58812100;50588500;49376000;47514000;49341700;47624300;47778900;50639200;49165200;47417600;47900000;53143700
421;76372900;73093900;87974100;76909600;74631700;82562800;77088100;75361100;74452600;76170300;76353300;74256200;80909300;76450400;74611800;82034200;76184600;74182700;86966100;77471300;73523900;74741900;76539000;83028800;75402600
427;73584800;70367700;79028300;83220500;68219000;71447100;82094700;71087900;67749300;69531800;68831000;75808600;94399100;95799800;95514500;95114200;86948000;86064500;87928100;74456100;91825100;85747600;93118400;149018200;182744500
431;153882800;142482300;124397800;134397800;129990800;138358500;146133600;142485900;135803500;134545200;132732700;132071500;132612700;129283400;129781300;123545000;139588300;162550100;116334100;164653300;161747500;155507700;198485700;116842100;127453800
437;137328600;153898000;154162200;147927200;150063000;152847800;180442600;163079700;110852200;120878300;125726700;136454900;137947700;139146700;130764300;114309000;110625600;111233300;116138700;124542700;121374400;110905400;111546200;145330800;150855900
441;130472900;141445300;135191000;144865400;139991000;148354600;144358700;129949700;137649400;134998600;125902300;129615500;139542500;138525700;129516100;121848600;133393300;153453100;121767200;118906300;141447200;135597600;139263900;149014000;144919800
447;112052400;97790500;98454400;120042700;115062200;97850400;98388400;106931100;120629300;110843000;120477100;106351900;108546700;96006000;97899800;105026700;112940400;125676100;109575400;97962100;121103300;108096500;85654400;75023400;77068600
451;135243500;140467500;133005900;145617500;145947700;131078400;129416400;143886900;135322400;129790300;159695600;140158100;512182200;457586000;488602000;223149100;168213400;214885400;228070000;184907300;187292400;187926200;246074100;221098200;242168000
457;150425600;127692300;171530400;161917500;172284500;155530200;129788100;127825200;146704100;149768300;141139800;151450500;136740400;149027900;119415600;117795500;139001600;131701900;137378500;147480800;130459500;148620200;144823100;140881000;149778100
461;163594800;165354300;187915700;173743400;151303600;178281500;194480600;192125500;162211100;162858500;155371700;193806500;177941800;162084400;160589400;159725900;196705900;201061300;235765300;288583100;266641800;272612900;213727200;216615800;194419000
467;224077300;213396300;235531800;207761400;194878300;172977500;166860300;204122600;241201000;183542000;205707500;174775400;129833500;116176900;111272500;119017100;118831800;128543600;109295900;99942800;90246900;127487100;121983400;118992600;118885000
471;120301100;114957800;107119000;118258700;119843100;117792400;115944600;103096500;94058700;95294800;98372200;91058400;108717300;92758100;118145000;115758400;115469400;116297700;125189900;122376200;114769600;119970500;116481000;108566200;94060000
477;72681600;67039700;78450100;72860200;69880300;69316500;67195300;73626900;71707600;68176100;81057000;82884100;65710800;67079000;66092500;71599000;67573900;71318700;73305000;69559700;67577400;77057200;81848500;66487100;73664100
481;82146500;79371000;91172000;80262100;79548900;86706900;80429700;79200000;86814200;85535800;80236500;88322900;80657900;79196800;80387900;79652500;79630400;83803800;85225100;102531800;107597800;93666700;86704600;88599100;78957700
487;105765400;115090400;114263800;118759800;147660200;152319200;153421200;123538400;135502900;111905800;116445100;120088000;126027100;130467500;143928800;126791100;106163000;104033200;120068700;131808400;124014700;105986200;113388800;114046800;105401000
491;99992500;104112900;106656800;99668500;108842600;99712900;98613900;107167300;98146700;98445200;100129600;99935700;103979100;124116800;110366400;102310600;106430500;99649500;98196400;98996600;97836800;102932500;100513800;98386900;113334100
