Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
771;87318900;86184600;82172000;82323800;81033400;81322800;84018700;88587300;84655900;83503500;83423500;81786600;83128200;84934500;84037600;82511300;83122600;81360600;82991300;86998300;82529300;80911300;81855400;81285500;81588700
781;90067400;85677500;83853000;83478400;83474400;84977200;85927000;87962800;83723500;85471700;84247800;85553200;88607800;84174700;83638400;83758500;83253200;86251900;89193400;85087400;84172800;86734000;85617700;89116800;90076600
791;86317500;86600200;86392100;89232900;90068900;87686300;86090800;87543800;86000300;86813200;92570600;86805900;85456700;86176300;88599200;95730100;91756300;87059600;85621900;86131000;85874000;90237200;87187000;85736900;85905500
801;90346000;92902900;95439500;90999500;91233800;89412600;88718200;92183700;90110100;88428500;88934900;88890000;89778800;91996600;88458700;87901100;87916400;88612300;90852100;91825500;89276800;87683300;88625500;89610300;92006900
811;94698300;92019900;91675100;91611500;94326400;94375100;89978200;91282500;94046200;93765700;95362200;91062500;91792400;91370100;90456100;95045200;91043500;89949200;90739300;90778600;91884300;97229300;92667500;91989600;90543100
821;97248200;102145300;99077100;96925700;93415400;99321600;103266100;98071300;97783600;93421400;97497500;101377300;97801200;96284000;93412000;98109900;103068000;99069200;98326400;96286700;94531800;100865400;99682400;97246500;96536900
831;97610700;102907000;104078900;99285800;100508200;98806300;99724000;100607700;98763500;100355500;98079800;97864000;102402200;102136300;102869900;101812300;103077000;97692200;100304300;100426800;103471000;101875100;102034900;96444500;101842000
841;104133200;107354300;104843300;102050200;98881800;104413900;109348700;102810500;104134800;104017900;101336200;108269100;102212700;102520300;101794300;104200000;105449200;102437800;102229600;102415200;105619000;99397200;98055100;102310600;102001800
851;107824100;108266000;105901300;101687300;106336100;111703600;105724800;105276500;103124000;100435500;113426400;104395400;105242600;104950100;105909000;105519200;101160800;106402500;106325300;108494600;109912100;106782400;102815500;104792300;111266400
861;107921900;107257600;107157200;107490900;110741300;108957400;108572300;106796000;112215300;106644200;103503100;105564600;109601100;113899900;108911100;110064400;108069100;106909800;108682200;108581800;109514300;108277700;112167500;109236600;104057400
871;110684400;112590700;114288800;110330500;111376600;111031100;113428200;110190300;112243000;113396200;112796800;112758800;110398900;113807000;109988500;118257800;112944200;110982200;110926900;113783100;112449800;108121000;111155800;114230500;115193500
881;114001300;117345600;114450900;117287100;110083900;112683900;112998100;116055500;118392700;112929200;111920200;115773100;116026200;114214700;112707200;112522200;116012600;116859200;114266500;109672800;114324300;120580400;113939100;112782700;113131100
891;120717300;119558600;113344500;112217100;119832200;116568000;115387200;116280200;117444300;123231400;117084600;110780000;111975400;121260300;115908300;115373100;115493200;119892400;117020300;114884400;111419600;118222300;118850700;115387400;117268700
901;119947700;123651900;120915300;118960700;114946400;124181400;118200800;118622100;118891000;122378000;120822800;118361800;118848200;118208200;118927200;117777400;119540200;126416200;135630300;128938200;127119600;126846700;122531400;132000400;133245500
911;130713300;126491700;122373500;121655400;127065400;121667100;118903100;115935100;123493200;124667300;126302800;123380300;126691500;123499100;122132000;122720100;123221300;118823600;119099800;120443400;124853100;125079200;123165400;122578100;124096200
921;128070400;127296300;123720000;127134200;124846300;123367000;122596600;125632800;123818500;127183500;122899000;125910300;127950600;122641600;117922800;122037100;129345500;128552500;125000100;125847200;128136800;126155300;123435100;126591100;123084700
931;124066100;122588600;130132200;129535300;126133700;127629200;127782600;125792900;131483100;129867200;132071600;126968000;125920800;127846300;126093400;127384100;128698500;126893600;132060700;126196700;125528900;127713600;132838100;127793100;131662600
941;130737000;134951800;128435400;124054300;133551900;134738100;132990000;130950200;133804300;135768000;130813200;130249200;135505900;129149700;131314500;130152500;134890200;126524300;129232400;130444900;133510700;132111900;131295800;131800600;139259700
951;133902900;132887500;134905100;132394900;140236100;135632700;137272600;132534400;127259700;136636600;135701700;135652100;133526300;135674000;136755000;133691700;134378400;136222300;135985000;137562800;134912700;138753300;130818700;135057900;133629100
961;136768700;140024100;137940000;141618900;137984200;135941100;141059800;137925300;139849700;140699200;146215200;137604000;136275000;136795700;140802300;138377400;136440700;137238600;133938800;133657500;136076100;143604600;135653400;138934200;137124500
971;146112900;138945700;139711700;141473900;143908400;140484400;138455700;145587800;138955600;138193100;140610800;139249500;144162500;140340000;143857100;139432200;137469300;135451400;135147700;139085000;140799000;144047500;139668400;138505600;141758500
981;142516400;147007900;144166700;147235900;143225400;142119300;143943200;141862700;141347300;149157600;146313300;143008400;142488100;145699600;144048300;141324300;147313800;147165200;142252200;141926000;145354000;140532400;136218100;144287700;145050000
991;145996600;139075400;148625600;145218100;145913900;148986800;150823600;145517900;144988600;148345700;143836700;144784200;149895200;148342700;146476300;145726600;148805900;145005600;146008300;151542400;149427500;146443000;152480000;150949900;146663000
1001;149017500;154180800;153235300;148702200;151615200;148993200;149761000;153598500;152641500;149483200;148195200;152504600;149661100;148899100;152372500;151230900;149327600;148801400;152292600;149827900;151551900;154528800;151924300;150773500;152325500
1011;150952100;152373900;155149000;153613000;152089600;152950200;157900800;155963100;153831000;159153900;153631900;151216400;155262900;151870400;151074400;154437900;153221600;150865600;150797200;155303900;152201700;152791600;159157000;153686800;151283400
1021;158874500;156596600;154070100;159714700;157782100;154391000;156033100;156753600;155035200;158934600;162355300;157094300;157209000;159269200;159194600;154828100;158273700;156717900;155417700;160000700;155129100;154728400;156844600;158214200;155436000
1031;159397800;156868200;158513000;158019900;163072300;157833100;158960200;160255200;157883200;158195700;164096900;160445600;157735100;161648400;159046000;158443800;160758900;161130100;156941100;161135100;161242100;158320800;160870900;164497600;157175600
1041;161956200;157010800;161553000;159954900;165651300;164543400;160873400;166189500;175536400;167414600;167758600;163814900;161512600;164102400;163605000;160506900;165417300;164514800;161040800;164233100;162511200;160838400;166604600;164092100;160976600
1051;167889200;168531200;163624300;166992500;169182300;164128400;168004200;162056000;159334300;167953500;169048600;168715900;171627100;168036900;177979900;168094300;168035900;167008200;167445100;165869600;167895700;170977200;167262200;163701700;168939200
1061;166851800;167316500;170872500;170457100;167179200;169297600;165339600;168297900;172384700;171425000;169494100;170762900;169608100;166048800;170620300;169215400;173326900;166670300;167151000;171085800;170345400;167798400;169052100;167065100;168735400
1071;172273900;172512200;171697000;175250000;170061600;172747100;176296600;175812100;171162000;176411200;174830400;172604000;174350200;174371700;171665100;174961200;170020100;177070700;174343200;173909100;198073800;200431600;211987200;195671100;199680100
1081;201024600;211237500;195404800;203036500;231167300;276835900;302239400;256559900;275303400;180851800;177729700;174600100;178254300;191196800;204681500;203242200;197047700;202086000;187271700;177584700;181152700;176260700;177102400;177039100;175598800
1091;179741800;176240900;192706100;199092900;199820100;181135200;236893000;192860900;184014400;218923600;194710500;185421100;196097900;198269200;184050500;194075100;208074300;208219700;209438900;220032900;245840500;207862700;191406700;188447600;192267400
1101;223724100;191556200;194925000;214161500;185146700;181199300;184537300;179880200;180881500;185867900;180365300;184715400;184825400;182032300;189297900;183756900;180055200;185715100;183985100;182862100;185408700;182198200;186760400;182859900;184917800
1111;193978100;185269900;185098300;188852400;183827000;187993700;186927000;183536400;191861800;186843600;186376000;191972100;182712600;191748600;186499100;182471400;201291600;193657200;214973700;195196500;191956100;202579200;189351600;183981300;185584900
1121;187062500;189249200;190900500;189310700;190721400;187856500;189773600;193868500;186479500;189573700;187135200;189356400;192030900;188361700;189564200;187166300;189700700;191503400;190900900;189405100;191044700;187257000;188750800;191214100;186170500
1131;195043300;190157600;197577800;195094600;188938400;193447200;188997800;190907800;193074800;192642600;191581500;190049800;191838500;194562700;200665700;193154800;191314100;189605400;193516000;193033500;191337900;194881500;189935500;195005900;194016300
1141;192188400;196431000;193444600;195939400;196527900;192082400;196094400;193371600;197580500;193700400;194867600;199201400;193080100;194468800;199332900;196677200;197956800;191845000;194852200;197570100;195986700;197753900;193044200;193180100;198084600
1151;201208600;198703500;196406900;196447500;216052200;200448500;200747800;197582000;196972100;203198100;200255600;198106500;197197400;197278700;204438300;200311700;198652800;198082800;195800400;201689300;200259600;200146100;197386500;196873400;203025900
1161;204284700;201919500;199657800;199716800;204140500;204734300;202067800;200059700;201770500;204818500;206562800;202378100;200002500;199488200;205385500;208552200;205547600;201718200;205234200;207314600;204783100;209590800;199300900;202305000;204273100
1171;209564700;207241300;205631300;209404000;208108900;204321700;209716100;204296600;209797700;210226200;205941000;204589300;214456700;235583900;240942500;234717600;230735000;259521300;235429400;236513700;258638200;295594300;265880800;260386200;303353500
1181;239893500;229009200;220752100;231558500;233646500;241138200;219796000;216303200;227937200;241567700;214388900;211533800;225123000;224508300;231194500;224517300;213315100;216411100;211528300;247810400;246241200;266534800;211262200;212947000;209991600
1191;212501600;213954100;214957000;212113800;218610100;211128700;220163900;227085900;214147300;211174800;211215800;215742900;213402000;218566400;211487500;214119500;221277500;211686400;214561500;212475100;216488700;218259200;212521200;218583100;212264200
1201;217167300;219214800;214804100;218161500;216714300;220007600;215356000;215127400;220534400;215505700;221400000;218782800;214951200;219838300;217442800;219213900;214025300;216413300;221194300;217853900;218458700;215061200;257276600;224310600;216345100
1211;262064300;218566800;222966400;220780500;219123500;218095600;218146800;224390400;221386900;220956600;222957700;221282000;223178200;217523500;220418500;218224400;219374100;219015200;216939900;220598200;221920100;224471300;217864500;216757900;220826500
1221;227787700;226698100;222597800;234982700;249829100;227181800;224681300;221589700;226269400;225701500;226848700;221311700;225231100;229204800;224974800;224058300;223023900;224687000;223333100;235952500;263535100;261142200;311301300;379057700;358436000
1231;359541300;391747100;375833700;365877400;353343200;353953800;355091900;353785800;361509600;359311300;357170500;397887900;407150800;421843900;383179800;380251000;377734800;372941800;387145800;380774900;391586000;407607800;373992500;377560000;373239500
1241;369856000;368905800;372619300;385423800;372479900;370041700;363454100;397751900;379653800;368425500;364729700;380698100;376123400;399265900;396764900;436918600;404118200;453615400;432487100;465435000;445851700;460664800;463734200;445689100;477866700
1251;468479600;448784200;521503800;508698200;425498000;424768300;393985500;375538000;366731900;365338000;375495900;367498700;375839000;403186300;383352200;426362200;375838200;378695900;409356700;370102800;374559700;377432000;367178500;377846600;369729900
1261;376357200;373373300;373208200;398389500;402808000;369880900;385801400;380244200;368187000;373075800;366282600;370639000;386758700;377762200;377710200;376324100;372639300;375372600;398937900;390623200;413859800;398331200;385655000;372795600;430063200
