Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
451;37970500;37653300;37580900;38940800;40268700;38515300;38550800;38645500;42125900;42257400;41659100;40649700;42026800;38687400;39207500;41374900;38373300;39419400;38435300;41138700;44724900;40217300;45328600;40515700;41552500
457;27230900;28827700;30067600;29175600;28533700;28081800;29048300;29897600;30219800;29101000;28321600;29360600;34353400;29681600;27949700;29294300;30006100;29012600;28359100;28858300;28478600;29442500;29107400;27702800;27087700
461;48980900;52570300;55217200;55073600;52815600;51638800;51497200;52863200;52957600;53395800;52463800;52491800;55668800;57097900;54845000;53121000;56179300;57464200;52404500;52710600;54756800;54217000;50833000;48038300;49702800
467;42405800;40265900;41335400;40908300;39621700;41081600;40653100;40305600;46468100;44743100;43986700;44543200;48614900;44224000;43965300;43702400;42670600;43485800;44192100;44966300;44106000;44583300;43121000;42264800;43703400
471;42119200;43790800;42791800;42383200;48592900;43287900;43955000;45542100;45491900;47533300;42362000;42284600;42065300;41702800;42661000;41414100;44056900;42556300;43257100;42322000;42657400;44666100;43837900;42716500;42634500
477;51627700;52505700;53751100;55172800;50366300;53638100;50815400;56208000;52761700;52049300;51118700;53944500;53485500;53356800;55533000;53406600;55575900;53725400;51749000;54641400;55041000;52016100;53763500;52579600;52662200
481;57459600;55314300;56933400;62054000;58898400;61221800;58006900;59091500;55506800;56706600;57711700;57018600;56632600;56023100;56917500;54863500;54589700;57503600;55165500;54202000;55651800;56125800;53933900;56923200;60305800
487;61447800;64133200;64517800;62033000;60588300;61349400;68047200;71927300;64930200;59690000;57904000;61421800;59484300;59990800;58563300;58545800;60544400;62056500;61471400;56870200;55558300;56448200;60624600;65147800;63864900
491;62717500;62877100;63327400;59570300;56753400;57688500;57735600;57691400;56154300;57883900;56860500;57604300;57449400;56981800;57956100;56726100;58093500;59157500;62105200;59586300;59784100;59063200;63740900;62011800;58175700
497;66687800;63499300;66663000;68308500;69664700;66064400;66374500;66017500;66751400;64319800;66176600;68264500;65691300;65618200;63607400;61067900;59662000;57688800;58068700;58152400;65769300;67689400;65127100;61744400;67146800
501;55880900;54367000;53807200;50353400;51373900;54786700;58728500;58586700;57097900;57361600;55922400;53380300;50773800;50215800;50609600;57532600;53443600;50895500;50247300;56025900;57674500;55262300;51982800;50757000;50153100
507;62730400;64329500;56644000;57327400;55798600;55491500;55718200;57327800;55975800;60521500;62552900;59232700;58696200;53276700;53123400;53018600;52986700;55113300;53715200;58444400;61630400;56355700;54948700;56070200;56914200
511;44068300;43322600;43740200;44422900;44782900;44653600;45682100;45823400;45573700;43386400;43070900;43704900;44907800;44507400;46498800;47126800;46691600;45895700;46946400;46101900;44987000;43490300;46815600;45190500;50392300
517;59909000;63076600;61956900;62371100;63901700;59879600;57188500;56120100;59634100;58098800;52677100;52898800;59028600;62422500;61171100;56209100;54326900;54758900;55373500;54118500;53897400;53734400;54729000;53831100;55109000
521;66048900;64020800;66793000;70307100;67596500;69981500;68815900;67151900;68683500;66969700;69479300;63563500;69816900;71468200;67343300;62445400;67632000;63731300;61772600;58726200;64507400;60337600;60367000;61890900;60270200
527;66215700;63453300;70719500;67345000;66797400;66344000;63553200;61910700;64383600;65234100;72827200;68657100;66028600;67656800;64764300;64970900;65666100;67718000;65232800;65883400;71682100;68638900;64945500;65582000;69382900
531;70241100;68017000;68781500;65064500;66423800;71960800;69285600;66919700;67753000;65723400;63514700;68000800;69865800;68430400;70644300;68880800;66234300;64639700;66008900;66434900;65384700;67457100;70872800;72534400;67727800
537;57111100;57504000;57033000;62846300;62151400;63113400;60316200;62468700;60941400;56757500;56625000;60138700;60079000;57802000;61040400;62246600;61963900;65355900;63477900;62294200;64820900;77494800;84551800;71317500;72831000
541;69779200;69687500;71364000;66696900;66541400;64389100;64531200;67177800;65845100;71602500;69537500;62962600;63579900;66885600;65687500;62820400;60474600;59353100;67825300;62482700;68422300;64151300;59441900;59053400;58731300
547;58519300;58915300;60796000;59790400;58216100;60226500;59009400;59854900;59809700;58879600;58045800;56946100;56730500;57829800;60633400;61510000;59093000;58654000;57148100;57945500;56421100;56412600;57922600;60508700;59732700
551;72208600;71634900;71527800;71354900;71389400;75534500;75945100;74226200;72356800;70520700;71526600;74612400;74259300;76414500;75490600;70999000;70867900;75358100;77365500;77404000;74898300;70617600;71296400;70073400;70452500
557;63004100;66610500;66285700;66304300;63885600;71809300;65853500;63217500;64991600;62185000;64661400;65076700;60735500;59719600;69067900;81956600;79780700;81177600;74782800;76496800;72736100;78496400;77217800;78707300;73919800
561;84687400;81657900;81754800;80010600;73385900;71511200;69530900;81243300;78816100;77062100;71997800;71282400;70229700;69738900;67787900;68877800;69849600;71870500;69069800;70329400;68220300;74847800;82387600;77419400;74496000
567;66486300;68192900;63365800;62883000;62502700;62312900;62915400;66028900;75734600;84859000;75145900;65743700;63604700;64571300;63992100;64530300;67500500;65177600;63032100;64393500;71649500;64677900;63609700;64398000;64888900
571;75675600;72265400;72365900;75037900;75199600;86196600;97101600;90589400;84372900;80491000;73938500;72570200;75157200;77650900;81923600;81985400;77913500;74710800;73918200;80335500;85494800;81923300;80928900;79047100;86498500
577;79369400;80149600;95083000;103679500;85775100;82626500;87888200;80429300;75548500;75223500;84869300;84027500;80961100;86790200;85327200;85773500;87333100;82154300;83162800;83493700;82259400;76456300;76282600;98467100;96118100
581;87838100;87982500;85325100;78858400;72875700;70304800;78786800;85956100;78380300;80491700;81674300;78574200;83007800;79577800;79025200;77402600;74156500;81629300;83871200;85026300;89713000;96803500;93627200;94854500;93002700
587;84539900;83391800;89946600;85686300;80554600;74921400;85672700;94997700;81464000;84815400;83994800;83408700;84804500;86674500;85135600;80772700;85704300;81266800;76807900;80411500;85798600;78675600;69442600;69057000;69662800
591;90905300;94476900;93808300;95082200;102796500;97433900;91111600;94663000;95005400;93242900;86863000;94836500;113572100;95893500;97986000;100589700;97806400;93872200;96610800;99299900;98331900;96056400;96259700;95550700;89952100
597;90198600;93779200;99241700;97388800;93480300;95169900;98222100;93196700;92712300;94323700;97258400;96497300;95300600;93598900;94271500;94231700;93593300;104551200;103930300;99069200;96666600;93426600;91112100;91532100;93621200
601;86032500;85692600;83745200;85792200;83310200;80438700;80617200;81759600;80911600;80666600;80382100;81150300;79271800;80552100;84968600;80855900;79664100;82776700;87110100;84546300;79536400;79198000;80903500;79440400;79828200
607;71120400;76447900;73578800;71887800;71523100;70364800;71665200;72074900;71769700;71280300;72228400;71601400;69409100;69778400;74661400;72854100;71016600;71158800;70268200;71668800;70282800;70732400;71106700;72369200;70290900
611;69038600;68404400;69337300;72119900;68171000;67539600;66886500;68839500;69790200;70628900;69818700;69243500;69311700;72986400;76146600;75673700;75686600;75681700;70736000;70455700;70256800;68468300;74094500;74861200;70537400
617;91319700;84939400;85888400;86208200;84360000;81088000;80410600;80563400;81155200;81767500;82228400;81282100;86659600;84433200;84254600;87041800;85602900;84825800;85891900;93623100;94368400;94632700;94198000;94902300;93883900
621;90214400;90428200;91034300;88550900;87307000;87662600;93909000;90504700;92078400;92040500;89084300;87552900;85251800;91186800;91982200;88206700;88420900;92456100;92529800;90111200;90626300;84671600;83819900;88669400;86544300
627;69021800;66604900;66125100;70739600;74800600;77750800;83039600;81492200;93512700;79276100;74690100;77272300;79594500;86292200;82026700;78383100;80475400;79713400;73090200;73310500;72610000;72910500;70436700;68078600;71527000
631;101869500;97286900;94473500;93652700;102129600;111024300;104115100;99487100;105071300;103766800;100624300;101166500;108396900;101756700;107703700;99720300;93206900;89896800;95342700;95463100;95297000;96351300;98023400;97416600;95623900
637;56819200;56165800;57476200;56203900;62075000;63714100;59836200;60903600;58779500;64968400;59831400;58273000;56715900;56283800;54535300;57029300;57340700;57483300;56561600;62692200;57313800;57926300;63671200;57916200;56159700
641;100833800;103567000;101667100;102040800;92652000;101781400;100937500;102861400;98622200;98179200;99069600;99833600;101787500;96517800;93109100;96129900;88968500;89781600;90293900;92007400;89410800;91907200;89684800;95166100;92432000
647;83641100;84995400;86499400;86387400;85730700;85340700;89584000;86865600;86749000;89271300;86872300;84597100;87197800;87811500;108539800;110617700;99657100;93051000;102679900;101171200;101336000;95975300;92589000;96286400;91615300
651;102871500;95813200;101896500;98564400;96029500;98524900;104169200;93772800;95317100;101311100;97157100;99932800;100598000;104034000;102462200;97361300;93974700;92907100;101484400;96826000;95468300;95946400;94530100;94500500;97662300
657;98321000;103073000;97268100;101168000;97620300;99958400;106713400;111529300;107883100;104487000;103949400;96723000;95966600;99755100;100081100;96700600;95090000;97655300;97555900;101805500;110300400;104668100;99450200;108765500;109826100
661;78040100;76364500;74567500;74515000;78579000;81267800;81716100;84341800;79665900;84600100;84933200;83317600;90439300;85283200;82986500;85387200;84554700;87502300;90240200;87078200;90943400;88735600;87383400;96727100;87198000
667;124608000;135226100;125372700;141018800;130102000;127292100;121452500;119134100;128872600;123732000;122490900;112105300;109970400;107410500;108327300;113430200;110794200;122469400;114822800;115147400;120449400;114750700;110114000;108503100;112079800
671;99312100;103189800;106317000;115463600;113795600;108813800;109212900;108677500;116313600;123670200;118714300;117773900;112054500;114127700;109578300;100647000;103089900;113042500;119513900;108018100;115021100;114677600;110820400;115498800;101331100
677;100213700;97604300;103282600;102639700;94264700;88621600;97480900;101049100;90494800;92155200;93528500;92810200;94694400;96428300;94540800;90236800;90203500;92228400;91431800;90512900;94216900;94958200;91595300;91320500;89279900
