Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
2023;763043400;672798300;732890800;722672000;718840500;655254700;685378100;739002700;707602000;686524300;667690000;732839900;686959700;652076300;643446100;594804900;623883000;605979600;584556700;580238500;624231900;632765000;589977000;582719500;608878600;647751400;593996500;590088100;597826600;622794000;624853600;618245300;604432900;619329000;607335300;608808400;616659200;664089900;589313000;587768400;615587200;604233800;597179200;586880500;610912400;618436400;603973300;587592700;594662300;627357200
2021;615407500;583213000;597253700;619065900;596682600;609648700;608470600;598241800;604490900;580007800;606233300;604137100;576367700;579063300;572760800;607070500;607629500;572482800;578709500;617668800;604415100;617645900;607010500;596481500;603431900;591851400;572837600;580413300;618922500;608576200;616807000;603177000;588459100;575909800;575928500;622286000;601684600;596550800;572739300;592031200;608374300;590135000;575502300;573246600;607918000;610495300;571440900;576551900;594647100;600950000
2019;634737800;612132200;604575800;617555600;599981700;611141900;606311700;592176900;576158100;582079800;608479800;608274800;584627000;577940400;596381900;614208500;602810700;584087400;577400700;636725400;607031600;576500000;579788900;615217400;610893400;600655700;615498600;615983700;609338000;590402300;609998900;615826200;628865500;588136600;586650100;616815600;610311700;599949100;577262700;609967100;610842900;580291800;581673700;592580500;616715700;618768200;612630000;611715800;617240300;612173800
2017;509271700;486396400;483302700;521821300;539739000;459220000;482120500;484424300;472704000;455291300;457012800;455897900;484265100;481082100;493051000;456401400;457946800;475713900;484118300;474136900;462038600;464195300;465879100;490716400;484838600;489012400;488043100;475335500;494050600;495847900;489826200;482379600;484843400;505336100;476170100;463734500;457100000;470384700;486760200;479848500;461241100;460161500;456634500;486025100;501767700;479427700;487900800;458156700;481419900;487099200
2015;627483000;588305800;582761200;614784600;606529100;626397300;629864800;628086700;609940300;581044800;620347400;610077200;604434300;594114600;600369900;610438200;596784900;579576500;582209100;621236600;601730900;585613000;579792900;609047700;606717800;609714200;627002700;609419300;635147800;610112600;622973700;630495800;663741600;647864200;604681800;609147900;599071600;577140400;577745100;619584800;612071000;585433200;579103000;613673300;638035700;589794800;588377300;593411900;623695800;633925800
2013;640022800;654148900;612295600;595917900;616166300;610362700;598253900;592096400;580214200;620653000;632950400;590038600;579493200;620655300;620325300;602488800;585317800;595340400;619010000;602658700;587714200;584218400;618702600;610309800;620437200;623173900;641988300;612169800;589056500;624093300;612668200;583712300;585969100;587114800;620864400;608176800;583845100;587839400;621835200;613613400;590680800;587752300;630705100;616991000;595502400;587445900;590629500;624930800;606366900;629226300
2011;634534400;614464900;598561200;593583900;616182800;600025800;578741500;584004300;631995300;618467900;592127000;580408400;604301200;638402400;600213700;584509400;599121500;616057700;617224600;613581100;597594900;616113800;599351100;621267900;632795500;606902700;580883900;576281400;605678600;609414300;591313100;579545400;592705400;624570600;594992800;584544500;580165200;628003900;613457500;586109700;605940600;614610700;614024500;622245500;609695400;616892200;611258900;592809700;606976500;608954500
2009;444527700;421796600;418438000;415811500;441499500;441378200;455009700;418899500;417670500;417394400;448659300;436929000;430192300;420638500;416853200;415618400;441812100;445372600;438366600;440514600;443433200;440243500;466884000;447430200;449373100;442511700;438619300;438778100;485749600;481044200;442364400;423673000;452404600;444359200;432157900;417843200;416970700;413780700;454277000;462581100;434220100;420878300;417041500;423529000;439387700;439354000;424514100;418917400;423515600;420310800
2007;647504200;607385700;624305800;625148100;639273200;603113000;592572100;621429500;602593900;580927700;580838000;607131100;608473300;590910300;578396700;587715200;620042800;593290300;581079700;579914000;625023200;633778100;615579300;610044800;610831100;631430000;642934900;613119200;615617100;610019500;592989800;606720300;662992100;661708600;600195300;632295600;626321300;622863500;581042200;578605200;613134500;608777600;583304500;578595000;609204000;608452900;616630500;610309200;609172700;615878200
2005;600167600;612206600;616226900;672489600;661398200;582081800;617565100;598667900;575142900;575115700;612923200;616605700;592177900;576175700;594514900;610327300;591580800;584236700;586963900;635162300;598434200;612110800;642132600;625478800;604104000;586320500;616219800;601513100;575097300;574882300;588818400;609223100;591696400;572694400;578170400;635373300;607322800;580304200;576983600;603839200;611824300;596959600;591431100;609174300;623378900;612790400;634673200;612776900;623270900;595943600
2003;607133900;617836600;597383200;565687700;561346600;603809200;605123800;588448000;569094300;570726600;606609400;584651500;572712300;570924300;599856500;595798000;609427500;628602900;594300700;604703900;582870700;600531900;591804000;570667100;605373700;645129500;632002500;625067800;621948300;638590800;647899200;624302300;645558300;725120500;567867200;593434300;595393300;569734400;562283000;554938300;582510400;576804500;567005100;561932300;570129100;584878800;566381500;643745000;667438800;607441000
2001;605929200;595301200;585487700;601970300;583511000;578857100;598843600;604125900;567767200;572847300;582549100;601035200;592693500;565983200;571719900;609767600;586491100;580060200;572396500;579366000;592152400;576330500;573491000;573279600;596745400;580407700;587498200;587991400;600622000;599647700;569467400;592095100;609181000;592861700;575648400;561715900;595731300;593992400;585068000;572936500;578476400;616514800;572628500;580272100;575537000;599193900;590716900;628246000;617045500;591342400
1999;411429600;385130300;391986200;395863800;390459100;393543700;448710700;407478000;390453200;385590500;394871800;396633200;393747500;389379100;402085800;381719100;383686000;419700400;393630400;387022400;393464400;381182800;380446900;394711300;398385000;394466800;384086200;391548700;386949500;394570700;422085900;394205000;392240800;397484800;397240700;401975000;405288000;400177800;391821000;378886900;394761400;397735500;392536100;397462300;382686000;385603000;401080600;394847600;399855400;415049400
1997;435252900;405337500;407353000;408253000;419378400;420632600;412911000;444375300;404339600;406515500;419245500;422076200;441512100;444855900;429369800;414896800;416746800;414683900;403591400;415126800;420811000;411849900;431024900;428375500;412806700;400293000;411144700;425217900;430632700;432127500;408091300;407390500;402703200;420798700;416294000;406897800;410324300;403148200;400915900;412038600;419880900;414009500;399774500;412830900;406548300;431468400;419032200;410523800;415106400;418835000
1995;535601600;525148300;522890100;505391500;515366700;520955100;518029100;500128100;498953900;503019500;547001600;530878500;509858800;496973100;496292000;515457200;523907000;502691100;506056700;496763500;516644000;517685100;501360000;495731300;508039700;520874400;517174800;529542000;520314900;533242800;523546800;516103000;501793800;506552500;523514500;528417500;517733900;504347200;498063200;524434400;511762800;511631500;507515200;517764800;513549000;520405700;499966400;513084000;501816600;518625900
1993;583915500;539586500;552640400;537591800;544234700;530419600;549977900;541441300;578226600;644396200;538535800;531573400;548481900;539774100;524128100;522130500;522085500;549513000;559016000;533024600;522177700;533293200;545359700;526367800;527572500;545344300;542060100;543136900;538628900;551430600;555756300;564889400;543644400;522584900;537456000;540099100;533882500;519396000;519446100;532422600;538449800;544763400;538895900;519319000;530726900;539470400;524977400;531187300;521475100;541980400
1991;615913200;593597400;609461700;595058300;603568700;597652500;605053300;628369200;640222300;587151300;581885100;594737300;594785900;575381500;576220400;591218100;594032900;587903200;576623800;577903400;601795900;583781600;582195200;579412800;612178800;594361100;623848000;608748700;599075400;592637600;581276800;598660800;595580000;620960200;605483800;578574300;597449800;597597800;573878400;578693800;603440400;612151000;584368600;584708500;582793400;599882500;589188800;580092600;577686700;594848200
1989;580113500;574235800;568782600;601465900;583454700;559198000;585195800;570353200;571852100;550014700;548432300;567037100;569736900;568752500;549148700;552163300;573504300;567018300;558743400;554593800;564583000;573720200;593086500;571030200;573807400;586303700;565669400;562590700;574857400;565808300;650794300;575942900;563359800;574321200;570341700;552910500;549933000;560865400;580731400;581766600;556094500;553946900;570673200;585291300;551603600;554832200;573126600;572491700;567625200;573063500
1987;547332100;539920400;528550900;508153800;543216800;548639200;525860000;509437100;511828700;523128300;536673200;534693500;514803400;510747600;519401500;534201100;518661400;519577400;511157400;524226000;536703300;550955800;559118600;544871800;547046700;553485100;519579000;533250500;536754600;574583300;525751500;516183700;534174400;531971800;529855500;510762300;519394500;543165700;532605200;522688500;510093700;512141100;531092900;536185900;547975100;519512900;514413000;533701600;530719700;533235800
1985;589950800;608412100;620866100;586124500;580618700;575491300;592138000;558695900;556686400;567788700;580367700;574253200;556370500;558139900;581014800;576622300;567645300;563647300;579541700;586068500;602811000;647186400;578229200;588170400;597280000;587703200;587585600;588907600;582369800;561401700;580178600;582696200;579971400;563000100;566025300;585075500;594761000;569455400;555943400;570733200;593301600;567982200;573166500;562658300;583752900;579337400;575900900;588596000;579392700;612057300
1983;480722100;443764900;453661300;427502300;450595500;448614300;438282600;423432400;440434100;432769000;449966800;429826700;418775000;419044100;435761400;434328400;420453600;429324100;420630700;436961900;435570300;438048300;425105200;414979400;432318300;421785300;455545900;431869500;424804000;436133900;430458700;444060600;443157500;433735400;424120800;443698400;439407300;433543600;456088400;423421500;418051000;416602700;432937000;436409600;427202800;425029000;418950100;419206500;429071600;436761000
1981;370899600;359939500;354946200;340750700;343357900;357306900;358356900;353379200;360088000;355798500;358068700;356029500;357152100;356301600;349023400;347214800;357183800;377740700;356603400;352499000;365715900;374029300;360589100;346495500;352494700;359154400;359111900;355627300;348422700;341520500;340693100;340769900;351947300;380360400;369929400;344047800;356163600;346537300;340329000;356027200;356891200;356999600;346345500;342779500;353357700;346309500;349937000;392424300;358922800;352139800
1979;595756100;581508600;617841900;576350700;559758600;580409700;577796900;569416600;556636300;553510900;577529800;569427500;568203700;554958100;564839900;619170700;576004800;562679800;556264300;578638600;578928000;597229200;584439400;583711500;572114300;563615000;579266200;577599800;612890000;606489000;558405700;574459900;577495800;583208900;554708500;564668000;582905700;562769200;564092700;555622400;574026100;580169200;559110700;565561800;562851800;583237000;563843600;580568700;585463000;607053100
1977;410999400;381630800;375270100;393664200;393621200;395205900;385332500;379928600;380192400;373499200;393461400;392652900;386700700;386476800;381105600;392433600;378574400;392878600;395365500;380646200;375790000;386688400;377924800;382706900;392109800;392331200;393489500;395317900;388316700;390803400;397307100;405083000;400626900;372921400;396751500;390735700;399926600;386990100;380823600;377238600;374397000;380967000;393606700;392904900;394512600;377587100;377557800;382686300;403117800;397086300
1975;577555900;559441900;548986500;561072600;570516100;551647600;554497500;556430000;566490200;559608600;565671900;563631300;584144600;578353600;570927100;557103600;573057300;564585500;547097800;549631300;554389700;592575600;573020600;553966700;547880300;565411400;570127000;558718400;558572400;553919400;598591800;569324500;573302600;577794300;576103800;570173800;554944300;574635200;579134700;594473900;565106500;545154200;570622800;571558900;555900100;546120100;564500200;598129300;552771400;557149100
1973;439467800;432200400;444574000;444287600;426062400;430537800;425674900;436877400;448761500;435196600;442208300;439340700;445103300;467034900;444568300;471258700;462263400;602836100;519268100;518731400;482424800;504305600;547804300;598815600;572767200;555831700;467856100;468951000;468366400;457362900;501706600;512081900;438386900;495411900;520019500;498403300;700764300;606978500;518499700;485390600;487105700;476053500;512805500;644539700;488140600;568723800;665006300;568706400;533283500;488107900
1971;642289400;583542500;609377600;567112900;582708900;617157700;589174500;556514900;564070500;619105300;656362600;575485400;621144800;625022800;590973200;578616200;644618400;665837400;670817500;558508600;583718400;569046100;633322900;611428900;579024700;647607000;598984300;558849800;547341500;575570300;647143600;672392800;632738400;641717200;688274200;622398700;559808500;541402500;577884200;708249300;615927700;622237300;663148800;698752200;649140900;585851300;588231500;561554300;532711200;555982200
