Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
801;142665300;154895900;161847100;162138500;161657900;167300800;189043500;172361500;148527400;149079400;165749900;172591900;175767600;141952200;141511500;141874400;161175900;145094700;144856400;138785600;142706400;140154100;142468400;146628000;139787200
811;153257600;145655500;148234500;144878400;146216600;142957800;166532400;151134600;154152100;146125700;148541400;148505100;144975700;172428400;144697300;161320000;150651900;152834900;160603500;146319300;153662300;154234500;167458800;165410500;157766000
821;157750300;153841200;148795300;148998900;146703200;158686800;147690900;153491300;153240000;152397600;167635600;163128000;150638300;155568700;153431500;149468100;155014900;149475200;157566600;172067200;171117700;175755200;171887400;155820200;161927900
831;165499900;156005700;157611900;155652600;156809400;153374800;154691800;159625800;156646300;155711900;158841100;154939600;159783000;171894700;183946100;170300000;184649300;189690700;171498400;166201900;182523300;156019700;164922900;189092700;180802200
841;176374600;170490800;170770500;181853900;179937900;168397900;164558200;160820300;157493000;166954600;160336600;168534500;156887000;156985300;155917400;160773300;155573200;159931600;158253700;157855300;157417300;156462600;157840400;158461000;157016600
851;160225100;156924600;157957200;160975900;165459000;157719000;158139000;159825000;157580200;159316300;159103500;162855600;157005000;158583000;161283300;160511200;157696600;170803000;159965300;160779100;160812400;163811700;161734700;164531700;157991800
861;163514200;162955400;164343000;162457200;168355300;163807000;163954000;163959500;164678400;165647500;161665100;162993300;165223000;164405600;167528500;163692400;173094700;164083300;165636200;165252800;168581600;163596200;170621800;167974300;164693000
871;169655000;174789900;169603400;168481300;171482800;170699000;169620100;169379900;171998200;163917900;165767800;168883400;169152600;169083300;172479600;173375100;168080100;170496200;170465000;186763900;185512700;172751700;168839000;185844200;193494400
881;194487900;179332000;175177100;172011700;176738100;169031900;178784000;176831700;171844800;172118200;173529600;174542600;167704500;169372500;171621500;170359600;173513700;177995900;169892400;169438800;171308700;170458000;172795400;177412700;173588500
891;180011700;180499300;179130500;180918000;179286000;175253900;176168400;180799100;179167400;183280400;176599900;174839900;177413500;179856400;175696900;198228700;180818500;188981700;210377400;200712900;212262600;195259600;187016000;186577700;185908700
901;192226700;190149700;189493600;181294300;193466100;186585800;187195600;179798500;183715800;185538800;183766000;179009800;183441300;189921600;207042100;196470500;180505700;203350000;201915800;221244400;195731100;204771900;215057400;216542600;221348600
911;208036200;226086600;219484900;202482700;214643200;212540600;207827600;214952300;205934600;210395400;200390700;208798000;222494300;214074100;215003500;209170100;215285300;218792700;191238400;193494600;185017800;185912000;186805300;189757500;189812300
921;211356100;201575000;217601000;195003900;192702800;193064000;207051600;237896000;213751300;204720400;199495000;201177800;208109500;191306700;198703600;194294000;190011800;197179100;194725000;198608500;194475000;196831700;197539800;193152900;195925600
931;204106900;204705800;200897600;205060100;200324200;194012000;202888000;205036200;190942500;207794800;215177200;207580400;211387600;206460900;203457800;210901000;199915000;210504300;201846900;194377500;207755400;216515300;220049300;231553700;206590200
941;224780900;214644900;204016800;215526700;208266100;204038200;217265100;220448400;211291400;200726400;200911400;204589900;207865300;200460700;204970900;205199500;209324700;212465900;212657800;202911800;213220200;212786900;197715300;218460600;205955500
951;225284000;226587900;207158500;206558500;220583000;215982700;215038100;212539500;208332500;223819000;214536300;212137500;212845900;209691500;205390900;206426200;204632100;229043200;205089200;214065900;204275600;203237400;201354200;203548600;207776900
961;219006800;214439800;222281900;213704100;211485900;208743600;206751500;207629700;219223900;201934300;210615800;210276400;207471400;225064500;224021600;212093800;212170000;226137900;236622100;221875600;232380600;247726100;243053800;231631600;228688400
971;233757100;243753300;226643700;230871700;222558700;239779600;213228400;224723200;214409700;219824600;224468000;216838600;219439500;211271700;217734800;220375000;217244300;214418200;227484400;240237000;232919200;222155200;233732800;242545600;213233500
981;224789300;216244000;236899400;227473800;224281500;216973200;223902800;241007100;231637100;225834800;228712700;228414800;226458700;218814800;217514300;232870200;222110900;221050900;224862800;226081600;223172100;222810300;223272400;229897300;233472500
991;218153500;221190700;228864800;218745700;234003100;251286800;228917500;267491600;234477300;250306600;237870700;238706700;242438000;225772100;224685800;226033100;226575400;224409500;238369000;226237800;231953700;229366200;220175800;227258600;231284300
1001;239772400;254152800;275766900;270002500;265836700;249996900;258696000;239867200;243465300;266541400;246965700;277075300;241677800;233798900;228626200;237991800;234245000;230248000;233239700;227531300;236225900;228605800;233574900;226774700;230012800
1011;251759900;247640500;240207600;238588300;266541200;268922800;254030600;247697000;246932200;240521200;228889600;238656700;232984900;234908800;270668100;273926200;261605600;249920800;240272800;245754900;238440900;259515600;261939900;283118800;254491200
1021;273180500;275361400;270247900;256598300;272678500;272816200;284495300;274592900;260008300;302551600;285786700;250241900;263870900;248487200;236940900;263403700;281925400;255952800;287802000;275650100;264042600;243166800;259654800;248164000;265052400
